monthly_rent,apartment_size
2100.0,60
3500.0,60
6500.0,60
5500.0,55
2900.0,50
10000.0,55
4000.0,999
7000.0,999
4000.0,50
5000.0,999
7000.0,55
4500.0,67
8000.0,70
10000.0,65
13000.0,98
9000.0,70
999999888.0,999
4500.0,999
2000.0,999
4500.0,60
6000.0,60
999999888.0,55
1500.0,55
4000.0,72
2000.0,999
7000.0,60
4000.0,999
3000.0,55
4000.0,60
1800.0,50
4000.0,999
5000.0,54
3500.0,72
5000.0,999
9000.0,999
4000.0,50
5500.0,999
5500.0,999
5000.0,999
3500.0,999
7500.0,120
3000.0,55
4000.0,60
3500.0,28
2800.0,999
5000.0,999
2800.0,42
3500.0,999
2000.0,70
2500.0,90
3000.0,999
3300.0,999
4000.0,60
3000.0,48
3000.0,50
2500.0,999
3000.0,50
2000.0,30
6000.0,999
2700.0,999
4500.0,65
2800.0,50
1500.0,999
1000.0,999
3000.0,999
7000.0,30
10500.0,65
3700.0,10
3750.0,999
10500.0,80
7500.0,999
8000.0,64
3800.0,27
1000.0,50
2000.0,999
999999888.0,999
999999888.0,52
3000.0,48
999999888.0,80
999999888.0,90
12500.0,75
8000.0,70
10000.0,70
5500.0,50
12700.0,60
999999888.0,80
12000.0,50
12000.0,85
8000.0,50
18000.0,999
15000.0,140
15000.0,80
999999888.0,160
15000.0,75
999999888.0,70
999999888.0,999
12000.0,186
13000.0,999
20000.0,75
999999888.0,70
8000.0,70
10000.0,100
13500.0,65
15000.0,125
14000.0,83
12000.0,999
999999888.0,75
10000.0,70
999999888.0,999
9000.0,70
12000.0,999
9000.0,75
999999888.0,120
6000.0,172
9000.0,999
999999888.0,80
12000.0,80
12000.0,75
4500.0,999
3800.0,999
6000.0,50
7000.0,54
999999888.0,60
4400.0,999
13000.0,86
3600.0,999
11500.0,100
3000.0,999
3500.0,75
7000.0,90
999999888.0,80
5500.0,90
12000.0,90
9300.0,80
5400.0,52
5000.0,65
15000.0,80
35000.0,135
22500.0,110
17000.0,999
3700.0,55
999999888.0,50
30000.0,120
3500.0,56
5500.0,60
10500.0,70
999999888.0,70
8000.0,36
6000.0,78
999999888.0,60
28000.0,110
30000.0,140
15000.0,160
20000.0,175
15000.0,90
999999888.0,80
9000.0,40
40000.0,250
22000.0,999
8000.0,100
999999888.0,85
8000.0,60
15000.0,999
3000.0,999
2500.0,40
3000.0,40
3000.0,60
3000.0,999
5000.0,40
4000.0,50
4000.0,60
6000.0,90
8000.0,68
7000.0,60
5000.0,62
5000.0,999
3000.0,999
4000.0,60
4000.0,100
3000.0,40
8000.0,60
7800.0,999
9000.0,999
30000.0,999
15000.0,70
3500.0,60
