county,decade,elect_infrastructure,pct_elect,HDI,housing_value,area
1,6,0,,,,243044
1,7,0,.25249121,.44091883,13.332851,243044
1,8,0,.31160611,.58052188,9.8450317,243044
1,9,0,.62536395,.66681379,9.1258783,238512.796875
1,10,.18432671,.84773064,.73303807,13.511304,237564.59375
2,6,0,,,,19632
2,7,0,.076984443,.287,6.9579434,19632
2,8,0,.15154211,.34600002,4.5296793,19632
2,9,0,.38117501,.49599999,4.6674485,22721.599609375
2,10,0,.48245275,.54100001,6.4734879,22627.69921875
3,6,0,,,,31312
3,7,.053571429,.043836005,.31599998,6.9086871,31312
3,8,.053571429,.22781679,.423646,5.6556039,31312
3,9,.053571429,.42952406,.59702009,5.0656133,29686.19921875
3,10,.053571429,.70220011,.63747138,7.4807506,29563.69921875
4,6,0,,,,79546
4,7,0,.19750178,.38416389,10.057408,79546
4,8,0,.46435809,.56605285,10.642287,79546
4,9,0,.75257409,.65656549,9.9816322,77926.1015625
4,10,.10702341,.83800036,.72098225,13.105772,77609.3984375
5,6,0,,,,22099
5,7,0,.047619049,.23900001,6.2494564,22099
5,8,0,.14550528,.33199999,4.9920969,22099
5,9,0,.32378981,.493,3.9955385,22816
5,10,0,.53802925,.5851562,6.1213665,22721.099609375
6,6,0,,,,73088
6,7,.020134227,.11598746,.31099999,6.9831753,71901
6,8,.020134227,.12467976,.35999998,4.5032601,71901
6,9,.020134227,.45982662,.50699997,4.2578816,76687.1015625
6,10,.020134227,.58845824,.55900002,5.2850065,76355.3984375
7,6,0,,,,122429
7,7,0,.071543843,.41999999,7.3916531,122490
7,8,0,.14144927,.52600002,5.6721573,122490
7,9,0,.35507277,.56199998,4.0878382,123120.8984375
7,10,0,.50167394,.59299999,5.9050426,122572.703125
8,6,0,,,,21301
8,7,0,.066016071,.257,5.3862743,20925
8,8,0,.23543869,.40700001,6.352037,20925
8,9,0,.54840362,.53000003,4.1262326,22503.599609375
8,10,0,.65088964,.611,7.1480312,22410.5
9,6,0,,,,28400
9,7,0,0,.278,5.5332217,51318
9,8,0,.17630854,.375,4.2051406,51318
9,9,0,.43200105,.48099998,3.300339,29946.5
9,10,.0088495575,.57262051,.546,4.9591699,29819.599609375
10,6,0,,,,70327
10,7,0,.10849611,.32600001,7.0808558,72214
10,8,0,.25304618,.41400003,5.7984314,72214
