log_dowry,elementary_plus,junior_plus,college,ethnicity,year,mar_year,mar_age,husband_elementary,husband_junior,husband_college,husband_mar_age,pre_marriage_asset,muslim,multiple_wives
,0.0,0.0,0.0,Tionghoa,2007.0,1968.0,,0.0,0.0,0.0,48.0,,0.0,0.0
10.203592,1.0,0.0,0.0,95.0,2007.0,1982.0,24.0,1.0,1.0,0.0,25.0,0.0,1.0,0.0
13.091905,1.0,1.0,1.0,Minang,2007.0,2007.0,,1.0,1.0,1.0,29.0,,1.0,0.0
9.2103405,1.0,1.0,1.0,Minang,2007.0,1992.0,34.0,0.0,0.0,0.0,27.0,,1.0,0.0
,1.0,1.0,0.0,Minang,2007.0,2003.0,23.0,1.0,1.0,1.0,30.0,1000000.0,1.0,0.0
,0.0,0.0,0.0,Batak,2007.0,,,0.0,0.0,0.0,,,0.0,0.0
10.596635,0.0,0.0,0.0,Banten,2007.0,2007.0,25.0,1.0,1.0,0.0,32.0,0.0,1.0,0.0
14.220976,1.0,1.0,0.0,Jawa,2007.0,1994.0,,1.0,1.0,1.0,32.0,,1.0,0.0
,0.0,0.0,0.0,Ambon,2007.0,1987.0,25.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0
6.9077554,0.0,0.0,0.0,Jawa,2007.0,1980.0,,0.0,0.0,0.0,23.0,,1.0,0.0
9.769957,0.0,0.0,0.0,Jawa,2007.0,1984.0,,,,,22.0,,1.0,0.0
9.2103405,0.0,0.0,0.0,Sunda,2007.0,1996.0,,,,,23.0,,1.0,0.0
12.206073,1.0,1.0,0.0,Sunda,2007.0,1997.0,22.0,1.0,1.0,0.0,21.0,,1.0,0.0
11.736069,1.0,0.0,0.0,Jawa,2007.0,1985.0,,1.0,1.0,0.0,28.0,,1.0,0.0
13.815511,0.0,0.0,0.0,Jawa,2007.0,2001.0,16.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0
6.214608,1.0,0.0,0.0,Jawa,2007.0,1973.0,,1.0,1.0,0.0,20.0,,1.0,0.0
13.122363,0.0,0.0,0.0,Bima,2007.0,2002.0,19.0,1.0,0.0,0.0,21.0,0.0,1.0,0.0
11.512925,,,,Banjar,2007.0,2000.0,15.0,,,,20.0,1350000.0,1.0,0.0
9.2103405,0.0,0.0,0.0,Banjar,2007.0,1999.0,,0.0,0.0,0.0,56.0,,1.0,0.0
15.424949,1.0,1.0,0.0,95.0,2007.0,2002.0,,1.0,1.0,0.0,62.0,,1.0,0.0
14.508657,0.0,0.0,0.0,Bugis,2007.0,2004.0,,1.0,0.0,0.0,35.0,,1.0,1.0
13.815511,1.0,1.0,0.0,Batak,2000.0,1999.0,24.0,1.0,0.0,0.0,29.0,,0.0,0.0
11.512925,1.0,1.0,0.0,Batak,2007.0,1998.0,21.0,1.0,1.0,0.0,23.0,2000000.0,1.0,0.0
11.91839,1.0,1.0,0.0,Jawa,2000.0,1984.0,24.0,1.0,1.0,1.0,27.0,,1.0,0.0
15.319588,1.0,1.0,0.0,Tionghoa,2007.0,2004.0,22.0,1.0,1.0,0.0,32.0,25000000.0,0.0,0.0
16.300417,0.0,0.0,0.0,Nilas,2007.0,2008.0,,0.0,0.0,0.0,20.0,,0.0,0.0
,0.0,0.0,0.0,Nilas,2000.0,1997.0,14.0,,,,16.0,,0.0,0.0
10.819778,0.0,0.0,0.0,Nilas,2007.0,,,0.0,0.0,0.0,,2000000.0,0.0,0.0
,0.0,0.0,0.0,Nilas,2000.0,1996.0,14.0,0.0,0.0,0.0,16.0,,0.0,0.0
14.030622,0.0,0.0,0.0,Nilas,2000.0,1935.0,,,,,20.0,,0.0,0.0
12.206073,0.0,0.0,0.0,Nilas,2000.0,2000.0,16.0,,,,17.0,,0.0,0.0
13.815511,0.0,0.0,0.0,Nilas,2007.0,,,,,,,,0.0,0.0
14.220976,0.0,0.0,0.0,Nilas,2000.0,1992.0,27.0,0.0,0.0,0.0,27.0,,0.0,0.0
9.2103405,0.0,0.0,0.0,Nilas,2000.0,1999.0,17.0,,,,20.0,,0.0,0.0
15.60727,0.0,0.0,0.0,Nilas,2007.0,1987.0,,0.0,0.0,0.0,29.0,,0.0,0.0
,0.0,0.0,0.0,Nilas,2000.0,,,,,,,,0.0,0.0
12.206073,0.0,0.0,0.0,Nilas,2000.0,2000.0,18.0,,,,20.0,,0.0,0.0
14.731801,0.0,0.0,0.0,Nilas,2000.0,1994.0,19.0,,,,32.0,,0.0,0.0
17.216707,0.0,0.0,0.0,Nilas,2007.0,1993.0,,0.0,0.0,0.0,19.0,,0.0,0.0
,,,,Nilas,2000.0,,,0.0,0.0,0.0,,0.0,0.0,
13.71015,1.0,1.0,0.0,Batak,2007.0,,20.0,1.0,1.0,0.0,,0.0,1.0,
16.118095,1.0,1.0,0.0,Betawi,2007.0,2003.0,25.0,1.0,1.0,0.0,22.0,3000000.0,1.0,0.0
10.126631,1.0,1.0,0.0,Minang,2000.0,1999.0,26.0,1.0,0.0,0.0,24.0,,1.0,0.0
16.195057,1.0,1.0,1.0,Batak,2007.0,2007.0,38.0,1.0,1.0,0.0,29.0,25000000.0,1.0,0.0
13.122363,1.0,0.0,0.0,Batak,2007.0,2000.0,19.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0
13.122363,1.0,1.0,0.0,Ambon,2007.0,,32.0,1.0,1.0,0.0,,5000000.0,1.0,
12.206073,1.0,1.0,0.0,Batak,2007.0,2007.0,30.0,1.0,1.0,0.0,,10000000.0,1.0,
,1.0,1.0,1.0,Batak,2007.0,2004.0,,1.0,1.0,1.0,29.0,,1.0,0.0
8.006368,0.0,0.0,0.0,Batak,2000.0,,,0.0,0.0,0.0,,0.0,1.0,
13.122363,1.0,1.0,1.0,Betawi,2007.0,2006.0,20.0,1.0,1.0,0.0,24.0,0.0,1.0,0.0
15.60727,1.0,1.0,0.0,Batak,2007.0,2007.0,,1.0,1.0,0.0,29.0,,1.0,0.0
15.830414,1.0,1.0,0.0,Batak,2007.0,2007.0,28.0,1.0,1.0,0.0,32.0,30000000.0,1.0,0.0
12.765689,1.0,0.0,0.0,Batak,2000.0,1999.0,17.0,1.0,1.0,0.0,30.0,,1.0,0.0
13.592367,1.0,0.0,0.0,Batak,2000.0,1999.0,28.0,1.0,0.0,0.0,28.0,,1.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2003.0,19.0,1.0,1.0,0.0,22.0,0.0,1.0,0.0
11.512925,0.0,0.0,0.0,Batak,2007.0,,22.0,1.0,0.0,0.0,,,1.0,
10.126631,0.0,0.0,0.0,Batak,2000.0,1973.0,16.0,1.0,1.0,0.0,19.0,,1.0,0.0
,0.0,0.0,0.0,Batak,2000.0,1994.0,14.0,1.0,1.0,0.0,23.0,,1.0,0.0
15.201805,1.0,1.0,0.0,Melayu,2007.0,2004.0,21.0,1.0,1.0,0.0,29.0,0.0,1.0,0.0
13.122363,1.0,0.0,0.0,Batak,2000.0,2000.0,19.0,1.0,1.0,0.0,22.0,,1.0,0.0
9.2103405,0.0,0.0,0.0,Batak,2000.0,1986.0,19.0,1.0,0.0,0.0,20.0,,1.0,0.0
10.126631,,,,Batak,2007.0,2004.0,33.0,,,,29.0,7000000.0,1.0,0.0
13.815511,0.0,0.0,0.0,Batak,2007.0,2002.0,24.0,1.0,1.0,0.0,27.0,3500000.0,1.0,0.0
14.220976,1.0,1.0,0.0,Batak,2000.0,1997.0,20.0,1.0,1.0,0.0,23.0,,1.0,0.0
13.815511,1.0,1.0,0.0,Batak,2000.0,1995.0,24.0,1.0,1.0,0.0,29.0,,1.0,0.0
11.91839,1.0,1.0,0.0,Jawa,2000.0,1996.0,21.0,1.0,1.0,1.0,28.0,,1.0,0.0
11.91839,1.0,1.0,0.0,Minang,2000.0,1996.0,25.0,1.0,0.0,0.0,25.0,,1.0,0.0
12.429216,1.0,1.0,0.0,Batak,2007.0,1998.0,25.0,1.0,1.0,0.0,25.0,,1.0,0.0
14.220976,1.0,1.0,0.0,Batak,2007.0,2007.0,36.0,1.0,1.0,0.0,37.0,,1.0,0.0
,1.0,1.0,1.0,Batak,2007.0,2000.0,21.0,1.0,1.0,1.0,24.0,0.0,1.0,0.0
,1.0,0.0,0.0,Jawa,2007.0,1994.0,22.0,1.0,1.0,0.0,27.0,1000000.0,1.0,0.0
,1.0,1.0,0.0,Batak,2007.0,1989.0,17.0,1.0,1.0,0.0,22.0,2000000.0,1.0,0.0
11.289782,0.0,0.0,0.0,Jawa,2007.0,1993.0,19.0,0.0,0.0,0.0,25.0,,1.0,0.0
13.815511,1.0,1.0,0.0,Batak,2000.0,1985.0,,1.0,1.0,1.0,27.0,,1.0,0.0
13.60479,0.0,0.0,0.0,95.0,2007.0,2001.0,22.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0
12.100712,0.0,0.0,0.0,Batak,2000.0,1994.0,18.0,0.0,0.0,0.0,24.0,,1.0,0.0
13.122363,0.0,0.0,0.0,95.0,2007.0,,19.0,0.0,0.0,0.0,,0.0,1.0,
12.611538,0.0,0.0,0.0,Melayu,2007.0,,18.0,0.0,0.0,0.0,,,1.0,
,0.0,0.0,0.0,Batak,2007.0,2007.0,21.0,1.0,1.0,0.0,21.0,40000.0,0.0,0.0
12.100712,1.0,1.0,0.0,Batak,2000.0,1999.0,20.0,1.0,1.0,0.0,22.0,,1.0,0.0
14.731801,1.0,1.0,0.0,Batak,2007.0,,23.0,1.0,0.0,0.0,,2000000.0,0.0,
14.914123,1.0,1.0,0.0,Batak,2007.0,1987.0,,1.0,1.0,0.0,24.0,,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,1990.0,24.0,1.0,1.0,1.0,24.0,,0.0,0.0
,1.0,0.0,0.0,Batak,2000.0,1998.0,23.0,1.0,1.0,0.0,37.0,,0.0,0.0
12.611538,,,,Batak,2007.0,1997.0,26.0,1.0,1.0,1.0,24.0,,1.0,0.0
13.815511,,,,95.0,2007.0,2001.0,17.0,1.0,0.0,0.0,21.0,5000000.0,1.0,0.0
15.60727,1.0,1.0,1.0,Batak,2007.0,2003.0,27.0,1.0,1.0,1.0,30.0,2000000.0,0.0,0.0
14.914123,1.0,1.0,1.0,Minang,2007.0,2004.0,25.0,1.0,1.0,0.0,28.0,350000.0,1.0,0.0
10.950807,1.0,0.0,0.0,Batak,2000.0,1971.0,21.0,1.0,1.0,1.0,24.0,,1.0,0.0
15.60727,1.0,1.0,1.0,Batak,2007.0,,28.0,1.0,1.0,0.0,,3500000.0,0.0,
,0.0,0.0,0.0,Batak,2007.0,1969.0,19.0,0.0,0.0,0.0,21.0,,0.0,1.0
12.611538,1.0,1.0,0.0,Batak,2000.0,1991.0,23.0,1.0,1.0,0.0,24.0,,1.0,0.0
,1.0,0.0,0.0,Batak,2007.0,1973.0,20.0,0.0,0.0,0.0,20.0,,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2007.0,21.0,0.0,0.0,0.0,22.0,2000000.0,0.0,0.0
14.220976,1.0,1.0,0.0,Minang,2007.0,2004.0,19.0,1.0,1.0,0.0,23.0,1000000.0,1.0,0.0
14.914123,1.0,1.0,0.0,Minang,2007.0,,23.0,1.0,1.0,0.0,,0.0,1.0,
10.126631,1.0,1.0,0.0,Batak,2000.0,1954.0,20.0,0.0,0.0,0.0,20.0,,0.0,0.0
13.017003,1.0,1.0,0.0,95.0,2007.0,,24.0,1.0,1.0,0.0,,1000000.0,0.0,
13.592367,0.0,0.0,0.0,95.0,2007.0,2002.0,20.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2006.0,27.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
14.508657,1.0,1.0,0.0,Batak,2007.0,2003.0,19.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0
10.819778,1.0,1.0,0.0,Batak,2007.0,2004.0,23.0,1.0,1.0,0.0,23.0,3200000.0,1.0,0.0
,0.0,0.0,0.0,Batak,2000.0,1980.0,24.0,1.0,0.0,0.0,30.0,,0.0,0.0
,1.0,1.0,1.0,Batak,2007.0,2004.0,28.0,1.0,1.0,1.0,29.0,,0.0,0.0
13.997832,1.0,1.0,0.0,Batak,2000.0,1997.0,25.0,0.0,0.0,0.0,37.0,,1.0,0.0
14.731801,1.0,0.0,0.0,Batak,2007.0,2003.0,23.0,1.0,0.0,0.0,27.0,1000000.0,0.0,0.0
,1.0,1.0,0.0,Batak,2007.0,2003.0,26.0,1.0,1.0,0.0,29.0,500000.0,0.0,0.0
12.206073,,,,Batak,2007.0,2000.0,31.0,1.0,1.0,0.0,39.0,,1.0,0.0
14.731801,1.0,1.0,0.0,Batak,2007.0,2005.0,23.0,1.0,1.0,0.0,26.0,1000000.0,0.0,0.0
