consumption,savings,income
34136.91,0.0,34136.91
40779.1,0.0,40779.1
52986.78,5624.99,58611.77
25680.65,0.0,25680.65
30328.25,0.0,30328.25
4756.21,0.0,4756.21
65023.72,2950.81,67974.53
67188.81,7377.04,74565.84999999999
33759.68,0.0,33759.68
53449.01,0.0,53449.01
19584.32,0.0,19584.32
6660.14,1467.39,8127.530000000001
6061.81,0.0,6061.81
11604.65,0.0,11604.65
27785.19,1721.31,29506.5
6661.02,0.0,6661.02
41317.55,0.0,41317.55
14303.96,2459.01,16762.97
8776.7,0.0,8776.7
73075.45,0.0,73075.45
25129.14,0.0,25129.14
27389.71,5409.83,32799.54
9132.28,0.0,9132.28
36427.27,0.0,36427.27
44226.94,2445.65,46672.590000000004
32124.85,880.43,33005.28
13180.18,14754.09,27934.27
14567.02,0.0,14567.02
19464.24,1475.4,20939.640000000003
46150.17,12228.26,58378.43
25093.73,2934.78,28028.51
23594.24,0.0,23594.24
9586.75,3977.9,13564.65
9847.74,0.0,9847.74
22677.84,0.0,22677.84
15943.5,0.0,15943.5
28092.17,0.0,28092.17
40270.98,0.0,40270.98
31741.42,0.0,31741.42
38512.24,0.0,38512.24
44699.29,0.0,44699.29
67269.62,0.0,67269.62
48573.53,0.0,48573.53
30157.6,0.0,30157.6
27959.13,0.0,27959.13
11103.09,0.0,11103.09
72734.84,0.0,72734.84
67136.55,0.0,67136.55
15599.44,0.0,15599.44
32746.81,1565.21,34312.020000000004
51068.12,0.0,51068.12
22311.14,0.0,22311.14
47467.07,0.0,47467.07
78572.98,0.0,78572.98
25404.31,0.0,25404.31
9721.98,0.0,9721.98
42238.57,7199.99,49438.56
6184.33,0.0,6184.33
32365.96,0.0,32365.96
4878.15,0.0,4878.15
5803.82,0.0,5803.82
12165.9,0.0,12165.9
29101.69,0.0,29101.69
26413.91,0.0,26413.91
35792.78,8559.78,44352.56
19425.0,0.0,19425.0
23760.29,0.0,23760.29
12147.77,0.0,12147.77
16110.38,13278.68,29389.059999999998
17028.01,0.0,17028.01
37090.76,0.0,37090.76
26557.1,0.0,26557.1
6240.64,3570.65,9811.29
11004.98,0.0,11004.98
13651.05,0.0,13651.05
12588.03,1467.39,14055.42
11830.05,0.0,11830.05
29405.9,0.0,29405.9
17003.42,0.0,17003.42
8911.01,0.0,8911.01
8332.46,0.0,8332.46
54246.04,0.0,54246.04
32416.82,0.0,32416.82
22647.63,0.0,22647.63
14802.25,3977.9,18780.15
4159.46,0.0,4159.46
15628.15,0.0,15628.15
13097.74,1956.52,15054.26
32598.99,0.0,32598.99
26422.12,0.0,26422.12
48345.14,1967.21,50312.35
11213.1,2950.81,14163.91
12935.63,0.0,12935.63
22122.53,0.0,22122.53
29604.12,29347.82,58951.94
27581.81,0.0,27581.81
26482.6,22622.95,49105.55
39964.25,0.0,39964.25
40958.69,3913.04,44871.73
23990.85,0.0,23990.85
21679.85,0.0,21679.85
15690.76,0.0,15690.76
15743.35,0.0,15743.35
28451.97,4773.48,33225.45
28369.52,0.0,28369.52
31657.81,6540.98,38198.79
29468.23,0.0,29468.23
18439.96,0.0,18439.96
20425.68,795.58,21221.260000000002
52300.04,0.0,52300.04
10688.45,5469.61,16158.060000000001
40269.06,0.0,40269.06
35488.17,0.0,35488.17
29266.33,5409.83,34676.16
6399.88,0.0,6399.88
45023.93,2347.82,47371.75
2156.9,4891.3,7048.200000000001
26787.09,0.0,26787.09
30855.14,3913.04,34768.18
27891.06,0.0,27891.06
14461.65,0.0,14461.65
29106.91,14754.09,43861.0
34285.87,0.0,34285.87
8892.86,0.0,8892.86
59579.48,0.0,59579.48
36197.65,2934.78,39132.43
14388.42,2286.88,16675.3
43026.56,0.0,43026.56
34404.9,51639.34,86044.23999999999
14615.58,0.0,14615.58
45508.87,1967.21,47476.08
37129.84,5380.43,42510.27
31301.75,0.0,31301.75
13613.26,0.0,13613.26
42491.79,0.0,42491.79
24301.43,0.0,24301.43
13251.42,0.0,13251.42
39892.76,0.0,39892.76
73356.12,0.0,73356.12
30282.62,0.0,30282.62
42376.22,0.0,42376.22
7963.28,0.0,7963.28
78661.83,0.0,78661.83
30615.68,0.0,30615.68
17685.46,0.0,17685.46
32591.95,0.0,32591.95
29260.92,6114.13,35375.049999999996
20568.96,0.0,20568.96
10280.94,0.0,10280.94
41661.1,0.0,41661.1
37935.71,2983.42,40919.13
8300.28,0.0,8300.28
18576.19,3032.6,21608.789999999997
51332.04,0.0,51332.04
17049.91,0.0,17049.91
58586.35,0.0,58586.35
6797.44,0.0,6797.44
31613.83,6116.02,37729.850000000006
12594.67,0.0,12594.67
18412.87,0.0,18412.87
13661.99,0.0,13661.99
25248.52,0.0,25248.52
28555.62,0.0,28555.62
54233.61,2152.17,56385.78
18915.35,0.0,18915.35
32556.57,0.0,32556.57
55306.64,0.0,55306.64
72739.06,0.0,72739.06
23543.61,0.0,23543.61
29632.65,0.0,29632.65
35882.7,2445.65,38328.35
23420.14,7826.08,31246.22
37961.46,0.0,37961.46
495.0,0.0,495.0
38241.21,0.0,38241.21
17543.9,0.0,17543.9
15407.08,0.0,15407.08
16255.75,0.0,16255.75
26780.3,0.0,26780.3
32328.65,5901.63,38230.28
59328.11,0.0,59328.11
31146.47,733.69,31880.16
43414.1,0.0,43414.1
15761.27,0.0,15761.27
54490.78,6613.25,61104.03
53864.48,0.0,53864.48
29091.98,0.0,29091.98
23246.36,0.0,23246.36
35418.34,7826.08,43244.42
54278.36,1988.95,56267.31
59146.69,0.0,59146.69
49173.13,0.0,49173.13
49931.03,0.0,49931.03
21777.14,0.0,21777.14
88415.57,0.0,88415.57
26406.17,1956.52,28362.69
49842.0,40327.86,90169.86
38845.51,0.0,38845.51
17140.25,0.0,17140.25
12185.66,0.0,12185.66
39125.61,0.0,39125.61
18036.77,0.0,18036.77
10723.79,0.0,10723.79
19654.93,0.0,19654.93
18482.6,0.0,18482.6
47855.25,4157.6,52012.85
24106.53,1475.4,25581.93
45076.01,11739.13,56815.14
39272.8,0.0,39272.8
16313.61,0.0,16313.61
34700.83,0.0,34700.83
16119.98,0.0,16119.98
28724.85,0.0,28724.85
63602.63,0.0,63602.63
8710.31,0.0,8710.31
69613.69,0.0,69613.69
45670.0,15983.6,61653.6
29309.33,0.0,29309.33
11566.29,0.0,11566.29
37597.01,0.0,37597.01
22142.53,2201.08,24343.61
27298.69,3717.39,31016.079999999998
33783.82,0.0,33783.82
9457.86,0.0,9457.86
28104.27,0.0,28104.27
22340.05,1721.31,24061.36
34541.27,3913.04,38454.31
24435.36,0.0,24435.36
12672.53,0.0,12672.53
63602.98,0.0,63602.98
9631.1,0.0,9631.1
12000.88,0.0,12000.88
19259.85,0.0,19259.85
23004.62,0.0,23004.62
28446.2,0.0,28446.2
12415.37,0.0,12415.37
35840.46,1467.39,37307.85
14623.77,2445.65,17069.420000000002
22036.39,0.0,22036.39
25558.81,11436.46,36995.270000000004
19410.48,0.0,19410.48
23389.08,0.0,23389.08
17644.92,0.0,17644.92
28757.2,0.0,28757.2
26575.26,0.0,26575.26
19808.18,0.0,19808.18
46743.26,0.0,46743.26
10198.01,0.0,10198.01
40968.73,6614.75,47583.48
15398.81,0.0,15398.81
39707.15,0.0,39707.15
35613.91,0.0,35613.91
36177.02,0.0,36177.02
28142.55,0.0,28142.55
35498.24,15163.04,50661.28
18460.0,0.0,18460.0
40045.26,0.0,40045.26
17985.62,132.78,18118.399999999998
32889.04,0.0,32889.04
17618.21,0.0,17618.21
7570.92,1320.65,8891.57
17328.28,0.0,17328.28
10661.19,0.0,10661.19
11996.53,3836.06,15832.59
56429.3,0.0,56429.3
19639.87,14754.09,34393.96
23064.11,0.0,23064.11
41022.06,0.0,41022.06
27947.45,0.0,27947.45
38918.03,0.0,38918.03
6523.34,0.0,6523.34
35342.06,0.0,35342.06
22076.62,23606.55,45683.17
6653.59,0.0,6653.59
16373.79,0.0,16373.79
13917.65,0.0,13917.65
24624.61,0.0,24624.61
20773.91,0.0,20773.91
28846.55,0.0,28846.55
20394.35,7458.56,27852.91
24956.71,3913.04,28869.75
27520.92,0.0,27520.92
10483.75,586.95,11070.7
97444.36,0.0,97444.36
31586.01,7868.85,39454.86
35565.86,1408.69,36974.55
9666.72,0.0,9666.72
9029.07,0.0,9029.07
18882.22,0.0,18882.22
10325.07,0.0,10325.07
56751.89,983.6,57735.49
52283.89,0.0,52283.89
25371.5,0.0,25371.5
19631.57,8852.45,28484.02
17996.87,0.0,17996.87
16847.77,0.0,16847.77
30970.8,0.0,30970.8
21034.54,5086.95,26121.49
24766.2,0.0,24766.2
36400.92,0.0,36400.92
16131.5,0.0,16131.5
63853.11,0.0,63853.11
13352.46,0.0,13352.46
36334.24,0.0,36334.24
32004.9,314.75,32319.65
13272.47,0.0,13272.47
23585.14,0.0,23585.14
15290.35,0.0,15290.35
30271.22,0.0,30271.22
21869.32,9944.75,31814.07
30864.69,0.0,30864.69
42377.31,0.0,42377.31
53887.56,0.0,53887.56
31002.23,12472.82,43475.05
34865.75,0.0,34865.75
30349.89,0.0,30349.89
39254.47,0.0,39254.47
16347.49,0.0,16347.49
36816.13,0.0,36816.13
25943.48,0.0,25943.48
63071.29,0.0,63071.29
31071.14,0.0,31071.14
13651.88,0.0,13651.88
15692.86,0.0,15692.86
43509.93,737.7,44247.63
39514.8,0.0,39514.8
10527.08,5901.63,16428.71
25817.28,23478.26,49295.53999999999
15159.42,1173.91,16333.33
49658.11,0.0,49658.11
20107.7,547.82,20655.52
49932.4,0.0,49932.4
3980.93,0.0,3980.93
17084.57,0.0,17084.57
15313.9,0.0,15313.9
40495.32,0.0,40495.32
16063.41,0.0,16063.41
26947.54,978.26,27925.8
41986.41,0.0,41986.41
19488.88,0.0,19488.88
25524.06,0.0,25524.06
13525.07,0.0,13525.07
19216.84,0.0,19216.84
44098.2,15652.17,59750.369999999995
26049.67,0.0,26049.67
10004.45,0.0,10004.45
31060.66,8852.45,39913.11
12928.62,0.0,12928.62
11180.31,0.0,11180.31
42642.5,0.0,42642.5
30476.09,0.0,30476.09
20349.54,0.0,20349.54
19143.27,0.0,19143.27
3232.85,0.0,3232.85
29646.52,14673.91,44320.43
28572.07,0.0,28572.07
15424.82,0.0,15424.82
36537.99,0.0,36537.99
25100.06,0.0,25100.06
47507.6,0.0,47507.6
24549.06,0.0,24549.06
57009.61,0.0,57009.61
36271.35,0.0,36271.35
30608.43,0.0,30608.43
28854.19,0.0,28854.19
27953.89,0.0,27953.89
9017.96,0.0,9017.96
59371.27,0.0,59371.27
69107.57,12295.08,81402.65000000001
17258.99,516.39,17775.38
27862.35,0.0,27862.35
27064.25,0.0,27064.25
21293.43,0.0,21293.43
36421.89,0.0,36421.89
20813.36,0.0,20813.36
23632.89,9048.91,32681.8
53631.64,8360.65,61992.29
29388.65,0.0,29388.65
53046.7,0.0,53046.7
63667.98,0.0,63667.98
29286.17,0.0,29286.17
31953.0,0.0,31953.0
47508.62,3913.04,51421.66
11490.2,11739.13,23229.33
11929.23,0.0,11929.23
20220.96,0.0,20220.96
30164.0,0.0,30164.0
20956.61,0.0,20956.61
2605.82,0.0,2605.82
11611.25,0.0,11611.25
9560.56,0.0,9560.56
32868.25,0.0,32868.25
32915.48,0.0,32915.48
20886.26,0.0,20886.26
15556.58,0.0,15556.58
20193.99,0.0,20193.99
19909.69,0.0,19909.69
64322.84,0.0,64322.84
26314.71,0.0,26314.71
36094.94,0.0,36094.94
23925.46,3081.52,27006.98
14561.22,0.0,14561.22
28117.63,0.0,28117.63
13953.56,0.0,13953.56
17576.8,10516.3,28093.1
46847.88,0.0,46847.88
23155.87,0.0,23155.87
27032.22,0.0,27032.22
32766.0,5869.56,38635.56
57273.26,0.0,57273.26
55204.45,8510.86,63715.31
22864.4,0.0,22864.4
12559.41,0.0,12559.41
37238.02,0.0,37238.02
33275.62,0.0,33275.62
14993.04,0.0,14993.04
19398.76,0.0,19398.76
12916.4,0.0,12916.4
23054.42,0.0,23054.42
52864.56,4426.22,57290.78
29744.38,0.0,29744.38
4947.39,0.0,4947.39
45271.49,0.0,45271.49
30496.93,0.0,30496.93
25292.95,0.0,25292.95
31219.75,0.0,31219.75
24454.15,0.0,24454.15
50739.4,0.0,50739.4
36441.19,0.0,36441.19
14369.86,0.0,14369.86
18431.42,0.0,18431.42
39028.86,10516.3,49545.16
52117.52,0.0,52117.52
16810.97,0.0,16810.97
38239.45,0.0,38239.45
30909.87,0.0,30909.87
33635.22,0.0,33635.22
10207.26,198.89,10406.15
31157.25,0.0,31157.25
13739.9,0.0,13739.9
11499.5,2950.81,14450.31
31990.02,0.0,31990.02
59085.43,0.0,59085.43
41165.95,26557.37,67723.31999999999
15558.74,0.0,15558.74
30305.13,0.0,30305.13
