"father_educ","mother_educ"
13,17
11,10
20,22
19,17
18,19
16,16
17,16
10,10
9,9
19,21
18,19
20,19
15,16
17,16
13,13
8,8
5,5
13,15
10,11
10,12
18,16
17,17
11,11
10,10
17,19
16,14
16,15
16,13
11,12
16,15
15,15
14,14
11,13
17,15
8,9
17,18
16,15
13,12
9,8
11,12
10,11
15,14
12,11
17,18
14,14
10,10
15,15
12,13
13,12
12,11
18,18
15,14
10,11
18,18
14,11
15,14
11,12
19,17
12,13
13,13
16,15
20,23
19,20
7,8
11,12
11,11
7,7
16,17
17,17
14,16
14,13
15,13
14,15
16,16
12,13
14,15
8,8
18,19
11,12
21,19
14,13
7,5
8,7
14,12
9,8
10,10
9,9
19,20
18,18
9,7
11,11
21,20
15,15
13,13
19,21
18,15
7,7
17,16
6,8
10,10
21,21
14,13
15,16
17,17
13,11
13,14
21,21
15,16
17,18
7,10
14,15
21,19
11,10
14,17
13,11
17,17
15,14
14,15
16,15
13,11
7,7
9,9
19,18
15,14
11,11
12,13
14,13
15,16
13,14
21,20
16,16
18,18
13,12
20,20
20,19
12,15
22,20
16,15
9,9
15,15
14,16
12,14
7,8
20,18
15,13
9,9
15,16
13,13
19,18
10,10
13,13
9,9
13,13
14,14
14,15
13,13
12,12
15,16
9,9
13,13
16,17
18,16
9,8
15,15
23,22
17,16
21,20
15,15
15,14
12,13
19,17
16,17
16,16
12,13
12,10
10,10
12,11
12,12
14,13
14,15
14,14
11,12
9,10
12,10
20,20
13,13
20,19
14,15
9,8
11,11
18,19
13,13
17,18
14,13
12,12
13,14
9,9
11,11
16,16
16,15
13,15
9,7
18,17
17,17
12,13
17,18
13,11
11,11
8,9
14,13
16,16
13,13
10,8
10,9
16,15
20,19
20,18
15,13
12,12
13,13
16,14
13,13
15,15
12,10
12,12
9,12
22,25
12,12
15,15
11,12
11,9
14,15
14,13
13,13
15,14
10,11
18,16
13,14
14,15
15,15
16,14
12,10
8,8
14,15
19,20
23,22
18,17
16,16
16,13
17,19
