year,city,state,age,hardness,ph,infrate,typhoid_rate,np_tub_rate,mom_rate,population,precipitation,temperature,lead,foreign_share
1900,Alameda,CA,28.9548378,97,7.599999905,0.109756097,0.024390243,0.030487806,0.195121944,164,1.850306988,59.02616882,0,0.193548381
1900,Albany,NY,30.34767532,43,7.300000191,0.298618495,0.04144527,0.01381509,0.179596171,941,3.278735399,45.26791,1,0.184883714
1900,Allegheny,PA,27.08730125,111,7.300000191,0.4468413,0.093990758,0.027734976,0.192604005,1298,3.350943089,48.97149277,1,0.237301588
1900,Allentown,PA,27.76404572,176,7.699999809,0.384180784,0.028248588,0.005649718,0.197740108,354,3.350943089,48.97149277,1,0.078651689
1900,Altoona,PA,27.03753281,111,7.300000191,0.467866331,0.043701798,0.007712082,0.182519287,389,3.350943089,48.97149277,0,0.112600535
1900,Amsterdam,NY,28.60988998,43,7.300000191,0.306220084,0.014354067,0.019138755,0.162679419,209,3.278735399,45.26791,1,0.252747267
1900,Ann Arbor,MI,28.12977028,269,8,0.131034479,0.027586207,0.048275862,0.165517241,145,2.610051155,44.54868317,0,0.106870227
1900,Atlanta,GA,25.75222206,15,6.800000191,0.52449888,0.074610248,0.026726058,0.23162584,898,4.165372849,63.82441711,1,0.023333333
1900,Atlantic City,NJ,28.76190567,12,6.199999809,0.438848913,0.025179856,0.035971224,0.276978403,278,3.752266169,52.19020462,0,0.129251704
1900,Auburn,NY,28.28181839,120,6.800000191,0.34653464,0.046204619,0.036303632,0.184818476,303,3.278735399,45.26791,0,0.196969703
1900,Augusta,ME,29.5773201,9,6.900000095,0.396551728,0.043103449,0.043103449,0.137931034,116,3.580913782,41.25073242,0,0.15463917
1900,Baltimore,MD,26.73837471,47,7.300000191,0.526233077,0.038907446,0.01906072,0.198467284,5089,3.59182024,53.77390289,0,0.147323176
1900,Bangor,ME,32.6071434,9,6.900000095,0.211009175,0.02293578,0.027522936,0.238532111,218,3.580913782,41.25073242,0,0.21875
1900,Bath,ME,27.05072403,9,6.900000095,0.413461536,0.009615385,0.01923077,0.240384609,104,3.580913782,41.25073242,0,0.210144922
1900,Battle Creek,MI,29.72222137,140,8.399999619,0.156756759,0.054054055,0.043243244,0.205405399,185,2.610051155,44.54868317,1,0.116161615
1900,Bay City,MI,23.36630058,96,8,0.336956531,0.043478262,0.010869565,0.155797094,276,2.610051155,44.54868317,1,0.245421246
1900,Bayonne,NJ,22.74424553,73,7.5,0.577981651,0.024464833,0.018348623,0.198776752,327,3.752266169,52.19020462,1,0.319693089
1900,Biddeford,ME,25.09239197,9,6.900000095,0.75155282,0.0931677,0.018633541,0.192546591,161,3.580913782,41.25073242,0,0.494565219
1900,Binghampton,NY,29.23178864,120,8.199999809,0.275252521,0.04040404,0.01010101,0.194444448,396,3.278735399,45.26791,0,0.123620309
1900,Boston,MA,28.47541809,21,6.5,0.425641954,0.024072753,0.038516406,0.215584874,5608,3.61384511,47.72419739,1,0.363319397
1900,Bridgeport,CT,27.55080986,28,6.699999809,0.434414655,0.019746121,0.021156559,0.203102961,709,3.802748442,48.52412415,1,0.300441831
1900,Brockton,MA,26.66599274,21,6.5,0.280000001,0.050000001,0.025,0.25,400,3.61384511,47.72419739,0,0.246963561
1900,Buffalo,NY,25.58952713,140,8.199999809,0.391427755,0.023559466,0.021288674,0.192449614,3523,3.278735399,45.26791,1,0.299831092
1900,Burlington,IA,31.20095634,200,8.199999809,0.193965524,0.056034483,0.004310345,0.18534483,232,2.696089268,47.67002869,1,0.205741629
1900,Burlington,VT,28.79914474,59,7.599999905,0.467741936,0.03763441,0.026881721,0.268817216,186,3.419363976,42.54195786,0,0.277777791
1900,Cambridge,MA,27.52702713,21,6.5,0.40196079,0.017429193,0.020697167,0.228758171,918,3.61384511,47.72419739,0,0.32432431
1900,Camden,NJ,27.01810646,148,7.599999905,0.463768125,0.01317523,0.015810277,0.167325422,759,3.752266169,52.19020462,1,0.110027857
1900,Canton,OH,27.83157921,112,7.599999905,0.300653607,0.029411765,0.009803922,0.176470593,306,3.193537951,50.73552704,0,0.112280704
1900,Charleston,SC,24.8344593,29,6.800000191,0.799283147,0.13261649,0.007168459,0.216845885,558,3.986030817,62.66871262,1,0.033783782
1900,Chelsea,MA,26.30790901,21,6.5,0.40882352,0.020588236,0.011764706,0.17058824,340,3.61384511,47.72419739,1,0.378531069
1900,Chicago,IL,25.9545536,258,7.699999809,0.320400357,0.021136297,0.018840153,0.194053575,16985,3.161184311,51.95226669,1,0.34548828
1900,Chicopee,MA,28.84397125,11,6.400000095,0.832460761,0.031413611,0.031413611,0.130890056,191,3.61384511,47.72419739,1,0.248226956
1900,Chillicothe,OH,28.88524628,362,7.5,0.232558146,0.069767445,0,0.232558146,129,3.193537951,50.73552704,1,0.065573767
1900,Cincinnati,OH,27.09369087,112,7.599999905,0.295796245,0.03896901,0.021785824,0.206198215,3259,3.193537951,50.73552704,1,0.176139906
1900,Cleveland,OH,26.03889084,125,8,0.455069423,0.056850929,0.005501703,0.182080165,3817,3.193537951,50.73552704,1,0.334511817
1900,Columbus,OH,27.74146271,127,8.100000381,0.211155385,0.053386454,0.019920319,0.207171321,1255,3.193537951,50.73552704,1,0.101626016
1900,Concord,NH,31.98952866,11,6.300000191,0.265306115,0.005102041,0,0.168367341,196,3.583282232,43.29488373,0,0.188481674
1900,Covington,KY,26.44117737,362,7.5,0.321678311,0.044289045,0.011655011,0.205128208,429,3.956812859,55.77843475,1,0.135746613
1900,Dayton,OH,26.95111084,362,7.5,0.29894489,0.035169989,0.024618993,0.214536935,853,3.193537951,50.73552704,1,0.097777776
1900,Denver,CO,29.35687637,102,8,0.283258587,0.040358745,0.022421524,0.218983561,1338,1.321176887,44.9744873,1,0.164312273
1900,Detroit,MI,25.96176338,269,8,0.462373108,0.028351417,0.017850893,0.20546028,2857,2.610051155,44.54868317,1,0.352559954
1900,Elizabeth,NJ,25.81551743,73,7.5,0.566218793,0.011516315,0.036468331,0.191938579,521,3.752266169,52.19020462,0,0.289655179
1900,Elmira,NY,29.26865578,120,8.199999809,0.207865164,0.044943821,0.011235955,0.199438199,356,3.278735399,45.26791,0,0.151741296
1900,Erie,PA,26.06044006,140,8.199999809,0.3605313,0.037950665,0.013282732,0.193548381,527,3.350943089,48.97149277,0,0.232600734
1900,Evansville,IN,27.22016716,138,7.5,0.313559324,0.049152542,0.013559322,0.210169494,590,3.365818739,51.8216362,0,0.072268911
1900,Everett,MA,26.9375,21,6.5,0.419753075,0.020576132,0.012345679,0.230452672,243,3.61384511,47.72419739,1,0.275000006
1900,Fall River,MA,25.32194328,2,5.699999809,0.844465673,0.027671756,0.021946564,0.187977105,1048,3.61384511,47.72419739,1,0.478417277
1900,Fitchburgh,MA,25.66051674,30,6.400000095,0.495238096,0.031746034,0.00952381,0.152380958,315,3.61384511,47.72419739,0,0.387453884
1900,Flint,MI,28.33098602,96,8,0.145038173,0.022900764,0.007633588,0.259541988,131,2.610051155,44.54868317,0,0.225352108
1900,Gloucester,MA,26.33189583,21,6.5,0.29501915,0.003831418,0.01532567,0.137931034,261,3.61384511,47.72419739,0,0.336206883
1900,Grand Rapids,MI,27.81746864,140,8.399999619,0.270857155,0.030857142,0.016000001,0.202285707,875,2.610051155,44.54868317,1,0.238521829
1900,Green Bay,WI,26.61956596,258,7.699999809,0.419354826,0.03763441,0.010752688,0.155913979,186,2.617222309,43.04780579,0,0.255434781
1900,Hamilton,OH,27.67489624,362,7.5,0.355648547,0.025104603,0.029288704,0.15481171,239,3.193537951,50.73552704,1,0.123456791
1900,Harrisburg,PA,28.87090111,145,8,0.347305387,0.0499002,0.005988024,0.187624753,501,3.350943089,48.97149277,1,0.090163931
1900,Hartford,CT,30.24712563,50,6.5,0.36716792,0.052631579,0.013784461,0.210526317,798,3.802748442,48.52412415,0,0.266666681
1900,Haverhill,MA,28.38516808,30,6.400000095,0.28840971,0.016172506,0.032345012,0.210242584,371,3.61384511,47.72419739,1,0.210526317
