year,municode,sv_beneficiaries,sv_amount,population_2020,forest_total_2010,forest_loss
2010,1001.0,0.0,0.0,948990.0,274.0,1.0
2011,1001.0,0.0,0.0,948990.0,274.0,0.0
2012,1001.0,0.0,0.0,948990.0,274.0,0.0
2013,1001.0,0.0,0.0,948990.0,274.0,0.0
2014,1001.0,0.0,0.0,948990.0,274.0,0.0
2015,1001.0,0.0,0.0,948990.0,274.0,0.0
2016,1001.0,0.0,0.0,948990.0,274.0,0.0
2017,1001.0,0.0,0.0,948990.0,274.0,0.0
2018,1001.0,0.0,0.0,948990.0,274.0,0.0
2019,1001.0,0.0,0.0,948990.0,274.0,0.0
2020,1001.0,0.0,0.0,948990.0,274.0,0.0
2021,1001.0,0.0,0.0,948990.0,274.0,0.0
2022,1001.0,0.0,0.0,948990.0,274.0,0.0
2023,1001.0,0.0,0.0,948990.0,274.0,0.0
2010,1002.0,0.0,0.0,51536.0,20.0,0.0
2011,1002.0,0.0,0.0,51536.0,20.0,0.0
2012,1002.0,0.0,0.0,51536.0,20.0,0.0
2013,1002.0,0.0,0.0,51536.0,20.0,0.0
2014,1002.0,0.0,0.0,51536.0,20.0,0.0
2015,1002.0,0.0,0.0,51536.0,20.0,0.0
2016,1002.0,0.0,0.0,51536.0,20.0,0.0
2017,1002.0,0.0,0.0,51536.0,20.0,0.0
2018,1002.0,0.0,0.0,51536.0,20.0,0.0
2019,1002.0,0.0,0.0,51536.0,20.0,0.0
2020,1002.0,0.0,0.0,51536.0,20.0,0.0
2021,1002.0,0.0,0.0,51536.0,20.0,0.0
2022,1002.0,0.0,0.0,51536.0,20.0,0.0
2023,1002.0,0.0,0.0,51536.0,20.0,0.0
2010,1003.0,0.0,0.0,58250.0,3638.0,0.0
2011,1003.0,0.0,0.0,58250.0,3638.0,0.0
2012,1003.0,0.0,0.0,58250.0,3638.0,1.0
2013,1003.0,0.0,0.0,58250.0,3638.0,0.0
2014,1003.0,0.0,0.0,58250.0,3638.0,0.0
2015,1003.0,0.0,0.0,58250.0,3638.0,0.0
2016,1003.0,0.0,0.0,58250.0,3638.0,0.0
2017,1003.0,0.0,0.0,58250.0,3638.0,0.0
2018,1003.0,0.0,0.0,58250.0,3638.0,0.0
2019,1003.0,0.0,0.0,58250.0,3638.0,0.0
2020,1003.0,0.0,0.0,58250.0,3638.0,0.0
2021,1003.0,0.0,0.0,58250.0,3638.0,0.0
2022,1003.0,0.0,0.0,58250.0,3638.0,2.0
2023,1003.0,0.0,0.0,58250.0,3638.0,0.0
2010,1004.0,0.0,0.0,17000.0,1.0,0.0
2011,1004.0,0.0,0.0,17000.0,1.0,0.0
2012,1004.0,0.0,0.0,17000.0,1.0,0.0
2013,1004.0,0.0,0.0,17000.0,1.0,0.0
2014,1004.0,0.0,0.0,17000.0,1.0,0.0
2015,1004.0,0.0,0.0,17000.0,1.0,0.0
2016,1004.0,0.0,0.0,17000.0,1.0,0.0
2017,1004.0,0.0,0.0,17000.0,1.0,0.0
2018,1004.0,0.0,0.0,17000.0,1.0,0.0
2019,1004.0,0.0,0.0,17000.0,1.0,0.0
2020,1004.0,0.0,0.0,17000.0,1.0,0.0
2021,1004.0,0.0,0.0,17000.0,1.0,0.0
2022,1004.0,0.0,0.0,17000.0,1.0,0.0
2023,1004.0,0.0,0.0,17000.0,1.0,0.0
2010,1005.0,0.0,0.0,129929.0,195.0,0.0
2011,1005.0,0.0,0.0,129929.0,195.0,0.0
2012,1005.0,0.0,0.0,129929.0,195.0,0.0
2013,1005.0,0.0,0.0,129929.0,195.0,0.0
2014,1005.0,0.0,0.0,129929.0,195.0,0.0
2015,1005.0,0.0,0.0,129929.0,195.0,0.0
2016,1005.0,0.0,0.0,129929.0,195.0,0.0
2017,1005.0,0.0,0.0,129929.0,195.0,0.0
2018,1005.0,0.0,0.0,129929.0,195.0,0.0
2019,1005.0,0.0,0.0,129929.0,195.0,0.0
2020,1005.0,0.0,0.0,129929.0,195.0,0.0
2021,1005.0,0.0,0.0,129929.0,195.0,0.0
2022,1005.0,0.0,0.0,129929.0,195.0,0.0
2023,1005.0,0.0,0.0,129929.0,195.0,0.0
2010,1006.0,0.0,0.0,47646.0,24.0,0.0
2011,1006.0,0.0,0.0,47646.0,24.0,0.0
2012,1006.0,0.0,0.0,47646.0,24.0,0.0
2013,1006.0,0.0,0.0,47646.0,24.0,0.0
2014,1006.0,0.0,0.0,47646.0,24.0,0.0
2015,1006.0,0.0,0.0,47646.0,24.0,0.0
2016,1006.0,0.0,0.0,47646.0,24.0,0.0
2017,1006.0,0.0,0.0,47646.0,24.0,0.0
2018,1006.0,0.0,0.0,47646.0,24.0,0.0
2019,1006.0,0.0,0.0,47646.0,24.0,0.0
2020,1006.0,0.0,0.0,47646.0,24.0,0.0
2021,1006.0,0.0,0.0,47646.0,24.0,0.0
2022,1006.0,0.0,0.0,47646.0,24.0,0.0
2023,1006.0,0.0,0.0,47646.0,24.0,0.0
2010,1007.0,0.0,0.0,57369.0,50.0,0.0
2011,1007.0,0.0,0.0,57369.0,50.0,0.0
2012,1007.0,0.0,0.0,57369.0,50.0,0.0
2013,1007.0,0.0,0.0,57369.0,50.0,0.0
2014,1007.0,0.0,0.0,57369.0,50.0,0.0
2015,1007.0,0.0,0.0,57369.0,50.0,0.0
2016,1007.0,0.0,0.0,57369.0,50.0,0.0
2017,1007.0,0.0,0.0,57369.0,50.0,0.0
2018,1007.0,0.0,0.0,57369.0,50.0,0.0
2019,1007.0,0.0,0.0,57369.0,50.0,0.0
2020,1007.0,0.0,0.0,57369.0,50.0,0.0
2021,1007.0,0.0,0.0,57369.0,50.0,0.0
2022,1007.0,0.0,0.0,57369.0,50.0,0.0
2023,1007.0,0.0,0.0,57369.0,50.0,0.0
2010,1008.0,0.0,0.0,9552.0,5343.0,0.0
2011,1008.0,0.0,0.0,9552.0,5343.0,0.0
2012,1008.0,0.0,0.0,9552.0,5343.0,0.0
2013,1008.0,0.0,0.0,9552.0,5343.0,0.0
2014,1008.0,0.0,0.0,9552.0,5343.0,0.0
2015,1008.0,0.0,0.0,9552.0,5343.0,0.0
2016,1008.0,0.0,0.0,9552.0,5343.0,0.0
2017,1008.0,0.0,0.0,9552.0,5343.0,0.0
2018,1008.0,0.0,0.0,9552.0,5343.0,0.0
2019,1008.0,0.0,0.0,9552.0,5343.0,0.0
2020,1008.0,0.0,0.0,9552.0,5343.0,0.0
2021,1008.0,0.0,0.0,9552.0,5343.0,0.0
2022,1008.0,0.0,0.0,9552.0,5343.0,0.0
2023,1008.0,0.0,0.0,9552.0,5343.0,0.0
2010,1009.0,0.0,0.0,22485.0,3.0,0.0
2011,1009.0,0.0,0.0,22485.0,3.0,0.0
2012,1009.0,0.0,0.0,22485.0,3.0,0.0
2013,1009.0,0.0,0.0,22485.0,3.0,0.0
2014,1009.0,0.0,0.0,22485.0,3.0,0.0
2015,1009.0,0.0,0.0,22485.0,3.0,0.0
2016,1009.0,0.0,0.0,22485.0,3.0,0.0
2017,1009.0,0.0,0.0,22485.0,3.0,0.0
2018,1009.0,0.0,0.0,22485.0,3.0,0.0
2019,1009.0,0.0,0.0,22485.0,3.0,0.0
2020,1009.0,0.0,0.0,22485.0,3.0,0.0
2021,1009.0,0.0,0.0,22485.0,3.0,0.0
2022,1009.0,0.0,0.0,22485.0,3.0,0.0
2023,1009.0,0.0,0.0,22485.0,3.0,0.0
2010,2001.0,0.0,0.0,443807.0,58261.0,274.0
2011,2001.0,0.0,0.0,443807.0,58261.0,43.0
2012,2001.0,0.0,0.0,443807.0,58261.0,88.0
2013,2001.0,0.0,0.0,443807.0,58261.0,116.0
2014,2001.0,0.0,0.0,443807.0,58261.0,133.0
2015,2001.0,0.0,0.0,443807.0,58261.0,199.0
2016,2001.0,0.0,0.0,443807.0,58261.0,30.0
2017,2001.0,0.0,0.0,443807.0,58261.0,272.0
2018,2001.0,0.0,0.0,443807.0,58261.0,415.0
2019,2001.0,1.0,6666.666666666667,443807.0,58261.0,115.0
2020,2001.0,1.0,5000.0,443807.0,58261.0,67.0
2021,2001.0,1.0,5000.0,443807.0,58261.0,21.0
2022,2001.0,0.0,0.0,443807.0,58261.0,88.0
2023,2001.0,0.0,0.0,443807.0,58261.0,34.0
2010,2002.0,0.0,0.0,1049792.0,3523.0,75.0
2011,2002.0,0.0,0.0,1049792.0,3523.0,5.0
2012,2002.0,0.0,0.0,1049792.0,3523.0,2.0
2013,2002.0,0.0,0.0,1049792.0,3523.0,2.0
2014,2002.0,0.0,0.0,1049792.0,3523.0,3.0
2015,2002.0,0.0,0.0,1049792.0,3523.0,28.0
2016,2002.0,0.0,0.0,1049792.0,3523.0,1.0
2017,2002.0,0.0,0.0,1049792.0,3523.0,14.0
2018,2002.0,0.0,0.0,1049792.0,3523.0,0.0
2019,2002.0,1.0,5000.0,1049792.0,3523.0,0.0
2020,2002.0,0.0,0.0,1049792.0,3523.0,1.0
2021,2002.0,0.0,0.0,1049792.0,3523.0,36.0
2022,2002.0,0.0,0.0,1049792.0,3523.0,152.0
2023,2002.0,0.0,0.0,1049792.0,3523.0,4.0
2010,2003.0,0.0,0.0,108440.0,7019.0,17.0
2011,2003.0,0.0,0.0,108440.0,7019.0,5.0
2012,2003.0,0.0,0.0,108440.0,7019.0,10.0
2013,2003.0,0.0,0.0,108440.0,7019.0,10.0
2014,2003.0,0.0,0.0,108440.0,7019.0,0.0
2015,2003.0,0.0,0.0,108440.0,7019.0,1.0
2016,2003.0,0.0,0.0,108440.0,7019.0,0.0
2017,2003.0,0.0,0.0,108440.0,7019.0,34.0
2018,2003.0,0.0,0.0,108440.0,7019.0,2.0
2019,2003.0,0.0,0.0,108440.0,7019.0,20.0
2020,2003.0,0.0,0.0,108440.0,7019.0,45.0
2021,2003.0,0.0,0.0,108440.0,7019.0,65.0
2022,2003.0,0.0,0.0,108440.0,7019.0,8.0
2023,2003.0,0.0,0.0,108440.0,7019.0,15.0
2010,2004.0,0.0,0.0,1922523.0,13072.0,40.0
2011,2004.0,0.0,0.0,1922523.0,13072.0,11.0
2012,2004.0,0.0,0.0,1922523.0,13072.0,8.0
2013,2004.0,0.0,0.0,1922523.0,13072.0,2.0
2014,2004.0,0.0,0.0,1922523.0,13072.0,93.0
